IATA Code,AA,DL,WN,UA,AS,B6,NK,G4,HA,OO,CO,NW,TW,HP,US,AC,WS,,,BA,IB,AF/KL,AF,KL,FR,U2,LH,DY,AY,W6,SQ,QF,JL,NH,KE,OZ,CX,CM,G3,LA,,CA,MU,CZ,HU,9C,HO,6E,SG,9W,KQ,MN,EK,QR,SU,TK,G9,J9,RJ
Revenue TTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015'Q2,"41,820 M","40,533 M","19,213 M","38,383 M","5,483 M","6,117 M","2,037 M","1,200 M","2,316 M","3,167 M",,,,,,"10,751 M","3,170 M",526 M,"24,687 M",,,"27,357 M",,,"6,762 M","7,223 M",,"2,591 M","2,738 M","1,474 M","11,290 M","13,304 M",12 M,15 M,10 M,5 M,"13,436 M","2,492 M","3,163 M","11,298 M",,"17,136 M","15,276 M","17,597 M","5,645 M","1,219 M","1,170 M","2,335 M",806 M,,"1,170 M",538 M,"25,751 M","9,473 M","5,791 M",,"1,047 M",224 M,
2015'Q3,"41,405 M","40,619 M","19,516 M","38,123 M","5,541 M","6,266 M","2,089 M","1,231 M","2,317 M","3,131 M",,,,,,"10,405 M","3,041 M",554 M,"24,786 M",,,"26,864 M",,,"7,102 M","7,173 M",,"2,572 M","2,709 M","1,550 M","11,280 M","12,725 M",12 M,15 M,10 M,5 M,"13,320 M","2,374 M","2,836 M","10,712 M",,"17,045 M","15,247 M","17,365 M","5,527 M","1,231 M","1,212 M","2,388 M",787 M,,"1,158 M",510 M,"25,509 M","9,573 M","5,838 M",,"1,050 M",217 M,
2015'Q4,"40,990 M","40,704 M","19,820 M","37,864 M","5,598 M","6,416 M","2,141 M","1,262 M","2,317 M","3,096 M",,,,,,"10,059 M","2,911 M",583 M,"24,886 M",,,"26,371 M",,,"7,441 M","7,122 M",,"2,553 M","2,680 M","1,627 M","11,271 M","12,147 M",12 M,16 M,10 M,5 M,"13,205 M","2,257 M","2,509 M","10,126 M",,"16,954 M","15,219 M","17,134 M","5,410 M","1,243 M","1,254 M","2,442 M",769 M,,"1,146 M",483 M,"25,267 M","9,674 M","5,886 M",,"1,053 M",209 M,
2016'Q1,"40,778 M","40,391 M","19,937 M","37,538 M","5,680 M","6,458 M","2,186 M","1,291 M","2,346 M","3,088 M",,,,,,"10,278 M","2,951 M",603 M,"24,611 M",,,"27,560 M",,,"7,358 M","6,855 M",,"2,670 M","2,640 M","1,640 M","11,113 M","12,118 M",12 M,16 M,10 M,5 M,"12,894 M","2,248 M","2,657 M","9,976 M",,"16,858 M","15,159 M","16,990 M","5,517 M","1,235 M","1,297 M","2,548 M",816 M,,"1,118 M",464 M,"25,389 M","9,908 M","6,499 M",,"1,051 M",201 M,
2016'Q2,"40,566 M","40,077 M","20,055 M","37,211 M","5,762 M","6,500 M","2,231 M","1,321 M","2,375 M","3,080 M",,,,,,"10,497 M","2,991 M",623 M,"24,337 M",,,"28,748 M",,,"7,274 M","6,587 M",,"2,788 M","2,601 M","1,653 M","10,954 M","12,088 M",12 M,16 M,10 M,5 M,"12,583 M","2,239 M","2,804 M","9,826 M",,"16,761 M","15,098 M","16,847 M","5,623 M","1,228 M","1,340 M","2,654 M",864 M,,"1,089 M",446 M,"25,511 M","10,143 M","7,111 M",,"1,048 M",193 M,
2016'Q3,"40,354 M","39,764 M","20,172 M","36,885 M","5,843 M","6,542 M","2,275 M","1,350 M","2,404 M","3,072 M",,,,,,"10,715 M","3,031 M",644 M,"24,062 M",,,"29,936 M",,,"7,191 M","6,319 M",,"2,905 M","2,561 M","1,667 M","10,796 M","12,059 M",12 M,16 M,10 M,5 M,"12,272 M","2,231 M","2,952 M","9,677 M",,"16,665 M","15,038 M","16,703 M","5,729 M","1,220 M","1,383 M","2,760 M",911 M,,"1,060 M",428 M,"25,633 M","10,378 M","7,724 M",,"1,045 M",186 M,
2016'Q4,"40,142 M","39,450 M","20,289 M","36,558 M","5,925 M","6,584 M","2,320 M","1,379 M","2,432 M","3,064 M",,,,,,"10,934 M","3,071 M",664 M,"23,788 M",,,"31,124 M",,,"7,107 M","6,051 M",,"3,023 M","2,522 M","1,680 M","10,637 M","12,030 M",12 M,16 M,10 M,5 M,"11,962 M","2,222 M","3,100 M","9,527 M",,"16,568 M","14,978 M","16,559 M","5,836 M","1,212 M","1,426 M","2,866 M",958 M,,"1,032 M",409 M,"25,755 M","10,613 M","8,337 M",,"1,042 M",178 M,
2017'Q1,"40,762 M","39,872 M","20,503 M","36,865 M","6,417 M","6,691 M","2,401 M","1,412 M","2,493 M","3,078 M",,,,,,"11,428 M","3,198 M",699 M,"24,728 M",,,"30,861 M",,,"7,533 M","6,227 M",,"3,209 M","2,684 M","1,860 M","10,990 M","12,114 M",12 M,16 M,10 M,5 M,"12,084 M","2,297 M","3,124 M","9,686 M",,"17,188 M","15,451 M","17,459 M","6,709 M","1,370 M","1,557 M","3,038 M","1,018 M",,970 M,423 M,"26,280 M","10,851 M","8,610 M",,"1,039 M",181 M,
2017'Q2,"41,382 M","40,294 M","20,718 M","37,171 M","6,910 M","6,798 M","2,482 M","1,445 M","2,554 M","3,093 M",,,,,,"11,922 M","3,325 M",734 M,"25,669 M",,,"30,598 M",,,"7,959 M","6,403 M",,"3,396 M","2,847 M","2,040 M","11,344 M","12,199 M",12 M,17 M,11 M,5 M,"12,206 M","2,372 M","3,149 M","9,845 M",,"17,808 M","15,924 M","18,359 M","7,583 M","1,528 M","1,687 M","3,211 M","1,077 M",,907 M,437 M,"26,805 M","11,088 M","8,884 M",,"1,036 M",184 M,
2017'Q3,"42,002 M","40,716 M","20,932 M","37,478 M","7,402 M","6,905 M","2,563 M","1,478 M","2,614 M","3,108 M",,,,,,"12,417 M","3,453 M",769 M,"26,610 M",,,"30,334 M",,,"8,385 M","6,579 M",,"3,583 M","3,010 M","2,220 M","11,697 M","12,283 M",13 M,18 M,11 M,6 M,"12,328 M","2,447 M","3,173 M","10,005 M",,"18,427 M","16,397 M","19,259 M","8,456 M","1,686 M","1,818 M","3,384 M","1,136 M",,845 M,450 M,"27,330 M","11,326 M","9,158 M",,"1,033 M",187 M,
2017'Q4,"42,622 M","41,138 M","21,146 M","37,784 M","7,894 M","7,012 M","2,644 M","1,511 M","2,675 M","3,123 M",,,,,,"12,911 M","3,580 M",805 M,"27,550 M",,,"30,071 M",,,"8,811 M","6,755 M",,"3,770 M","3,173 M","2,400 M","12,050 M","12,367 M",13 M,19 M,11 M,6 M,"12,450 M","2,522 M","3,198 M","10,164 M",,"19,047 M","16,870 M","20,159 M","9,329 M","1,843 M","1,949 M","3,556 M","1,195 M","3,333 M",783 M,464 M,"27,855 M","11,564 M","9,431 M","10,893 M","1,030 M",190 M,
2018'Q1,"43,102 M","41,963 M","21,351 M","38,664 M","7,987 M","7,174 M","2,813 M","1,550 M","2,716 M","3,147 M",,,,,,"12,982 M","3,553 M",824 M,"27,649 M",,,"30,205 M",,,"8,770 M","6,993 M",,"3,986 M","3,212 M","2,454 M","12,047 M","12,440 M",13 M,19 M,11 M,6 M,"12,882 M","2,561 M","3,194 M","10,228 M",,"19,424 M","17,087 M","20,535 M","9,533 M","1,908 M","2,003 M","3,697 M","1,228 M","2,511 M",869 M,467 M,"28,321 M","11,989 M","9,320 M","11,368 M","1,057 M",211 M,
2018'Q2,"43,582 M","42,788 M","21,556 M","39,544 M","8,079 M","7,335 M","2,983 M","1,589 M","2,756 M","3,172 M",,,,,,"13,054 M","3,525 M",843 M,"27,748 M",,,"30,339 M",,,"8,729 M","7,232 M",,"4,202 M","3,251 M","2,507 M","12,044 M","12,513 M",13 M,19 M,11 M,6 M,"13,313 M","2,600 M","3,190 M","10,293 M",,"19,800 M","17,303 M","20,911 M","9,736 M","1,973 M","2,058 M","3,838 M","1,261 M","1,689 M",954 M,469 M,"28,787 M","12,415 M","9,209 M","11,842 M","1,083 M",232 M,
2018'Q3,"44,061 M","43,613 M","21,760 M","40,423 M","8,172 M","7,497 M","3,153 M","1,628 M","2,797 M","3,197 M",,,,,,"13,126 M","3,498 M",863 M,"27,846 M",,,"30,473 M",,,"8,689 M","7,470 M",,"4,418 M","3,291 M","2,561 M","12,042 M","12,586 M",13 M,19 M,12 M,6 M,"13,745 M","2,639 M","3,186 M","10,357 M",,"20,177 M","17,520 M","21,287 M","9,940 M","2,038 M","2,112 M","3,979 M","1,294 M",867 M,"1,040 M",472 M,"29,252 M","12,840 M","9,098 M","12,317 M","1,110 M",252 M,
2018'Q4,"44,541 M","44,438 M","21,965 M","41,303 M","8,264 M","7,658 M","3,323 M","1,667 M","2,837 M","3,222 M",,,,,,"13,198 M","3,470 M",882 M,"27,945 M",,,"30,607 M",,,"8,648 M","7,709 M","18,415 M","4,634 M","3,330 M","2,614 M","12,039 M","12,659 M",13 M,19 M,12 M,6 M,"14,177 M","2,678 M","3,182 M","10,422 M",,"20,554 M","17,737 M","21,663 M","10,144 M","2,103 M","2,167 M","4,120 M","1,326 M",44 M,"1,126 M",475 M,"29,718 M","13,266 M","8,986 M","12,791 M","1,136 M",273 M,
2019'Q1,"44,848 M","45,080 M","22,081 M","41,792 M","8,393 M","7,767 M","3,450 M","1,711 M","2,836 M","3,159 M",,,,,,"13,561 M","2,603 M",918 M,"28,122 M",,,"30,607 M",,,"8,813 M","7,754 M","18,382 M","4,714 M","3,383 M","2,717 M","11,832 M","12,601 M",13 M,18 M,11 M,6 M,"14,067 M","2,685 M","3,292 M","10,424 M",,"20,430 M","17,885 M","21,948 M","10,266 M","2,154 M","2,240 M","4,276 M","1,430 M",43 M,"1,161 M",482 M,"29,361 M","13,423 M","9,528 M","12,883 M","1,176 M",291 M,
