Airline,American Airlines,Delta Air Lines,Southwest Airlines,United Airlines,Alaska Air,JetBlue,SkyWest,Northwest Airlines,TWA,Air Canada,IAG,Air France-KLM,Ryanair,easyJet,Deutsche Lufthansa,Finnair,Singapore Airlines,Qantas Airways,Cathay Pacific,LATAM Airlines,Air China,China Eastern,China Southern,Hainan Airlines,Qatar Airways,Aeroflot,Turkish Airlines
Status,public,public,public,public,public,public,public,merged with Delta 2008,"bankrupt 2001, acquired by AA",public,public,public,public,public,public,public,public,public,public,public,public,public,public,public,private,"taken private 2023, war",public
Country,US,US,US,US,US,US,US,US,US,CA,EU,EU,EU,EU,EU,EU,SG,AU,HK,CL,CN,CN,CN,CN,QA,RU,TR
Region,North America,North America,North America,North America,North America,North America,North America,North America,North America,North America,Europe,Europe,Europe,Europe,Europe,Europe,Asia Pacific,Asia Pacific,Asia Pacific,Latin America,China,China,China,China,Middle East,Russia,Turkey
Ticker,,,,,,,,,,,,,,,,,,,,,,,,,,,
IATA,AA,DL,WN,UA,AS,B6,OO,NW,TW,AC,,AF/KL,FR,U2,LH,AY,SQ,QF,CX,LA,CA,MU,CZ,HU,QR,SU,TK
Revenue TTM,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011'Q4,"23,979 M","35,115 M","15,658 M","37,110 M","4,318 M","4,504 M","3,655 M",,,"11,373 M","20,836 M","34,124 M","5,864 M","5,383 M",,"2,939 M","11,818 M","15,995 M","12,672 M","5,718 M","15,592 M","13,260 M","14,486 M","4,042 M",,"5,522 M",
2012'Q1,"24,198 M","35,504 M","16,016 M","37,121 M","4,403 M","4,624 M","3,625 M",,,"11,573 M","21,603 M","34,474 M","5,961 M","5,598 M",,"3,019 M","11,899 M","16,002 M","12,710 M","6,774 M","15,700 M","13,353 M","14,880 M","4,144 M",,"6,179 M",
2012'Q2,"24,417 M","35,893 M","16,373 M","37,131 M","4,487 M","4,743 M","3,595 M",,,"11,773 M","22,370 M","34,825 M","6,059 M","5,812 M",,"3,099 M","11,979 M","16,009 M","12,747 M","7,830 M","15,807 M","13,446 M","15,275 M","4,246 M",,"6,836 M",
2012'Q3,"24,636 M","36,281 M","16,731 M","37,142 M","4,572 M","4,863 M","3,565 M",,,"11,973 M","23,137 M","35,176 M","6,156 M","6,026 M",,"3,179 M","12,060 M","16,017 M","12,784 M","8,886 M","15,915 M","13,539 M","15,669 M","4,349 M",,"7,492 M",
2012'Q4,"24,855 M","36,670 M","17,088 M","37,152 M","4,657 M","4,982 M","3,534 M",,,"12,172 M","23,904 M","35,527 M","6,254 M","6,240 M",,"3,259 M","12,141 M","16,024 M","12,822 M","9,942 M","16,023 M","13,632 M","16,064 M","4,451 M",,"8,149 M",
2013'Q1,"25,327 M","36,946 M","17,241 M","37,434 M","4,782 M","5,097 M","3,475 M",,,"12,039 M","24,330 M","34,473 M","6,427 M","6,399 M",,"3,278 M","12,129 M","15,703 M","12,856 M","10,773 M","16,039 M","13,821 M","16,140 M","4,677 M",,"8,337 M",
2013'Q2,"25,799 M","37,222 M","17,394 M","37,716 M","4,907 M","5,212 M","3,416 M",,,"11,905 M","24,756 M","33,419 M","6,599 M","6,559 M",,"3,298 M","12,117 M","15,382 M","12,891 M","11,604 M","16,056 M","14,010 M","16,217 M","4,903 M",,"8,525 M",
2013'Q3,"26,271 M","37,497 M","17,546 M","37,997 M","5,031 M","5,326 M","3,357 M",,,"11,771 M","25,182 M","32,365 M","6,772 M","6,718 M",,"3,317 M","12,105 M","15,061 M","12,925 M","12,435 M","16,072 M","14,199 M","16,293 M","5,129 M",,"8,713 M",
2013'Q4,"26,743 M","37,773 M","17,699 M","38,279 M","5,156 M","5,441 M","3,298 M",,,"11,637 M","25,609 M","31,310 M","6,945 M","6,878 M",,"3,336 M","12,094 M","14,740 M","12,960 M","13,266 M","16,089 M","14,388 M","16,369 M","5,355 M",,"8,901 M",
2014'Q1,"30,720 M","38,420 M","17,926 M","38,435 M","5,209 M","5,535 M","3,283 M",,,"11,589 M","25,328 M","30,568 M","6,729 M","6,990 M",,"3,201 M","11,897 M","14,670 M","13,137 M","13,067 M","16,396 M","14,625 M","16,792 M","5,486 M",,"8,100 M",
2014'Q2,"34,697 M","39,068 M","18,152 M","38,590 M","5,262 M","5,629 M","3,268 M",,,"11,540 M","25,048 M","29,826 M","6,514 M","7,101 M",,"3,066 M","11,701 M","14,601 M","13,313 M","12,869 M","16,703 M","14,861 M","17,215 M","5,617 M",,"7,298 M",
