,ABNB,BKNG,EXPE,TCOM,TRIP,TRVG,EDR,DESP,MMYT,Ixigo,SEERA,Almosafer,Wego,Webjet,Webjet OTA,Cleartrip Arabia,Cleartrip ME & Flyin,LMN,EaseMyTrip,Yatra,Orbitz,Travelocity,FLT,Skyscanner,Etraveli,Kiwi,Cleartrip,Traveloka,LONG,TCEL
2012'Q2,,"$4,808Ê","$3,740Ê",$628Ê,$700Ê,,$578Ê,,$205Ê,,$313Ê,,,$59Ê,,,,$99Ê,,,$773Ê,,"$2,021Ê",,,,,,$106Ê,
2012'Q3,,"$5,035Ê","$3,885Ê",$655Ê,$732Ê,,$590Ê,,$213Ê,,$324Ê,,,$61Ê,,,,$99Ê,,,$776Ê,,"$1,967Ê",,,,,,$113Ê,
2012'Q4,,"$5,261Ê","$4,030Ê",$682Ê,$763Ê,,$602Ê,,$221Ê,,$335Ê,,,$64Ê,,,,$99Ê,,,$779Ê,,"$1,912Ê",,,,,,$119Ê,
2013'Q1,,"$5,644Ê","$4,216Ê",$739Ê,$809Ê,,$614Ê,,$229Ê,,$347Ê,,,$67Ê,,,,$117Ê,,,$796Ê,,"$1,857Ê",$107Ê,,,,,$131Ê,
2013'Q2,,"$6,027Ê","$4,401Ê",$796Ê,$854Ê,,$626Ê,,$236Ê,,$359Ê,,,$69Ê,,,,$134Ê,,,$813Ê,,"$1,803Ê",$107Ê,,,,,$143Ê,
2013'Q3,,"$6,410Ê","$4,586Ê",$853Ê,$900Ê,,$637Ê,,$243Ê,,$371Ê,,,$75Ê,,,,$152Ê,,,$830Ê,,"$1,872Ê",$107Ê,,,,,$155Ê,
2013'Q4,,"$6,793Ê","$4,771Ê",$909Ê,$945Ê,,$649Ê,,$250Ê,,$383Ê,,,$81Ê,,,,$170Ê,,,$847Ê,,"$1,941Ê",$107Ê,,,,,$167Ê,
2014'Q1,,"$7,205Ê","$5,019Ê",$982Ê,"$1,020Ê",$376Ê,$660Ê,,$257Ê,,$405Ê,,,$87Ê,,,,$172Ê,,,$868Ê,,"$2,011Ê",$115Ê,,$6Ê,,,$169Ê,
2014'Q2,,"$7,618Ê","$5,267Ê","$1,055Ê","$1,096Ê",$376Ê,$534Ê,,$268Ê,,$426Ê,,,$93Ê,,,,$174Ê,,,$890Ê,,"$2,080Ê",$122Ê,,$6Ê,,,$171Ê,
2014'Q3,,"$8,030Ê","$5,515Ê","$1,128Ê","$1,171Ê",$376Ê,$408Ê,,$279Ê,,$447Ê,,,$93Ê,,,,$176Ê,,,$911Ê,,"$2,014Ê",$130Ê,,$6Ê,,,$173Ê,
2014'Q4,,"$8,442Ê","$5,763Ê","$1,201Ê","$1,246Ê",$376Ê,$281Ê,,$290Ê,,$468Ê,,,$92Ê,,,,$178Ê,,,$932Ê,,"$1,948Ê",$138Ê,,$6Ê,,,$175Ê,
2015'Q1,$919Ê,"$8,637Ê","$5,991Ê","$1,320Ê","$1,308Ê",$416Ê,$155Ê,$422Ê,$301Ê,,$486Ê,,,$92Ê,,,,$202Ê,,,,,"$1,881Ê",$144Ê,$26Ê,$26Ê,,,$171Ê,
2015'Q2,$919Ê,"$8,833Ê","$6,218Ê","$1,440Ê","$1,369Ê",$456Ê,$248Ê,$422Ê,$310Ê,,$504Ê,,,$92Ê,,,,$225Ê,,,,,"$1,815Ê",$151Ê,$26Ê,$47Ê,,,$167Ê,
2015'Q3,$919Ê,"$9,028Ê","$6,445Ê","$1,559Ê","$1,431Ê",$497Ê,$341Ê,$422Ê,$319Ê,,$522Ê,,,$97Ê,,,,$248Ê,,,,,"$1,851Ê",$157Ê,$26Ê,$67Ê,,,$163Ê,
2015'Q4,$919Ê,"$9,224Ê","$6,672Ê","$1,679Ê","$1,492Ê",$537Ê,$434Ê,$422Ê,$328Ê,,$540Ê,,,$103Ê,,,,$272Ê,,,,,"$1,887Ê",$163Ê,$26Ê,$87Ê,,,$159Ê,
2016'Q1,"$1,103Ê","$9,066Ê","$6,908Ê","$1,941Ê","$1,471Ê",$562Ê,$527Ê,$411Ê,$341Ê,,$548Ê,,$8Ê,$109Ê,,,,$273Ê,,$111Ê,,,"$1,922Ê",$171Ê,$29Ê,$147Ê,,$66Ê,,
2016'Q2,"$1,287Ê","$9,316Ê","$7,436Ê","$2,205Ê","$1,489Ê",$607Ê,$526Ê,$405Ê,$378Ê,,$579Ê,,$9Ê,$115Ê,,,,$274Ê,$20Ê,$118Ê,,,"$1,958Ê",$179Ê,$32Ê,$208Ê,,$66Ê,,
2016'Q3,"$1,471Ê","$10,701Ê","$8,349Ê","$2,636Ê","$1,537Ê",$720Ê,$524Ê,$405Ê,$376Ê,,$583Ê,,$9Ê,$126Ê,,,,$275Ê,$20Ê,$120Ê,,,"$1,978Ê",$187Ê,$34Ê,$268Ê,,$66Ê,,
2016'Q4,"$1,656Ê","$10,743Ê","$8,774Ê","$2,962Ê","$1,480Ê",$754Ê,$522Ê,$411Ê,$415Ê,,$572Ê,,$9Ê,$137Ê,,,,$276Ê,$20Ê,$122Ê,,,"$1,997Ê",$195Ê,$37Ê,$329Ê,,$66Ê,,
2017'Q1,"$1,882Ê","$11,014Ê","$9,059Ê","$3,171Ê","$1,500Ê",$863Ê,$520Ê,$441Ê,$447Ê,,$554Ê,,$10Ê,$148Ê,,,,$284Ê,$20Ê,$125Ê,,,"$2,017Ê",$218Ê,$40Ê,$462Ê,$48Ê,$76Ê,,$387Ê
2017'Q2,"$2,109Ê","$11,483Ê","$9,449Ê","$3,440Ê","$1,533Ê",$982Ê,$538Ê,$465Ê,$518Ê,,$541Ê,,$10Ê,$159Ê,,,,$293Ê,$24Ê,$136Ê,,,"$2,037Ê",$242Ê,$43Ê,$595Ê,$48Ê,$86Ê,,$387Ê
2017'Q3,"$2,335Ê","$12,226Ê","$9,834Ê","$3,786Ê","$1,551Ê","$1,023Ê",$550Ê,$491Ê,$588Ê,,$532Ê,,$11Ê,$260Ê,,,,$302Ê,$29Ê,$146Ê,,,"$2,068Ê",$266Ê,$46Ê,$728Ê,$48Ê,$96Ê,,$387Ê
2017'Q4,"$2,562Ê","$12,681Ê","$10,060Ê","$4,028Ê","$1,556Ê","$1,035Ê",$546Ê,$524Ê,$637Ê,,$562Ê,,$12Ê,$361Ê,,,,$310Ê,$34Ê,$156Ê,,,"$2,100Ê",$289Ê,$50Ê,$861Ê,$48Ê,$105Ê,,$387Ê
2018'Q1,"$2,834Ê","$13,190Ê","$10,379Ê","$4,216Ê","$1,562Ê","$1,027Ê",$570Ê,$547Ê,$675Ê,,$566Ê,,$13Ê,$462Ê,,,,$316Ê,$39Ê,$166Ê,,,"$2,131Ê",$300Ê,$54Ê,$955Ê,$48Ê,$125Ê,,$482Ê
2018'Q2,"$3,107Ê","$13,702Ê","$10,673Ê","$4,375Ê","$1,571Ê",$964Ê,$570Ê,$552Ê,$621Ê,,$555Ê,,$15Ê,$563Ê,,,,$322Ê,$36Ê,$158Ê,,,"$2,162Ê",$311Ê,$58Ê,"$1,049Ê",$47Ê,$146Ê,,$577Ê
2018'Q3,"$3,379Ê","$14,117Ê","$10,983Ê","$4,547Ê","$1,590Ê",$930Ê,$574Ê,$542Ê,$571Ê,,$555Ê,,$16Ê,$479Ê,,,,$327Ê,$34Ê,$151Ê,,,"$2,154Ê",$321Ê,$62Ê,"$1,142Ê",$47Ê,$166Ê,,$672Ê
2018'Q4,"$3,652Ê","$14,527Ê","$11,223Ê","$4,662Ê","$1,615Ê",$915Ê,$574Ê,$531Ê,$524Ê,,$519Ê,,$19Ê,$396Ê,,,,$333Ê,$31Ê,$143Ê,,,"$2,146Ê",$332Ê,$66Ê,"$1,236Ê",$47Ê,$186Ê,,$767Ê
2019'Q1,"$3,578Ê","$14,436Ê","$11,324Ê","$4,801Ê","$1,613Ê",$864Ê,$586Ê,$515Ê,$486Ê,,$472Ê,$69Ê,$21Ê,$317Ê,,,,$344Ê,$28Ê,$134Ê,,,"$2,138Ê",$351Ê,$74Ê,"$1,284Ê",$45Ê,$198Ê,,$840Ê
2019'Q2,"$3,879Ê","$14,749Ê","$11,597Ê","$4,956Ê","$1,602Ê",$853Ê,$594Ê,$501Ê,$490Ê,,$421Ê,$151Ê,$24Ê,$239Ê,,,,$355Ê,$27Ê,$133Ê,,,"$2,130Ê",$370Ê,$81Ê,"$1,332Ê",$44Ê,$211Ê,,$912Ê
2019'Q3,"$4,612Ê","$14,940Ê","$11,879Ê","$5,057Ê","$1,572Ê",$850Ê,$601Ê,$512Ê,$505Ê,,$383Ê,$187Ê,$27Ê,$253Ê,,,,$370Ê,$25Ê,$124Ê,,,"$1,948Ê",$389Ê,$89Ê,"$1,380Ê",$42Ê,$223Ê,,$985Ê
2019'Q4,"$4,806Ê","$15,066Ê","$12,067Ê","$5,104Ê","$1,561Ê",$839Ê,$621Ê,$525Ê,$527Ê,,$340Ê,$201Ê,$29Ê,$266Ê,,,,$384Ê,$24Ê,$118Ê,,,"$1,766Ê",$409Ê,$96Ê,"$1,428Ê",$41Ê,$235Ê,,"$1,058Ê"
2020'Q1,"$4,809Ê","$14,517Ê","$11,667Ê","$4,555Ê","$1,463Ê",$770Ê,$581Ê,$468Ê,$512Ê,,$308Ê,$218Ê,$28Ê,$220Ê,,,,$327Ê,$23Ê,$96Ê,,,"$1,585Ê",$341Ê,$82Ê,"$1,208Ê",$34Ê,$214Ê,,"$1,021Ê"
2020'Q2,"$3,930Ê","$11,297Ê","$9,080Ê","$3,736Ê","$1,100Ê",$562Ê,$444Ê,$344Ê,$376Ê,$19Ê,$224Ê,$165Ê,$21Ê,$173Ê,,,,$269Ê,$22Ê,$66Ê,,,"$1,403Ê",$273Ê,$68Ê,$989Ê,$28Ê,$192Ê,,$983Ê
